_TS,_POS,PID,PLACE,MOVE
1,1,1,mf,pass
2,1,1,mf,pass
2,2,1,mf,lbal
2,1,1,mf,lbal
3,1,1,mf,pass
3,2,1,mf,lbal
3,1,1,mf,lbal
4,1,1,mf,pass
4,2,1,mf,lbal
4,1,1,mf,lbal
5,1,1,mf,pass
5,2,1,mf,lbal
5,1,1,mf,lbal
6,1,1,mf,pass
6,2,1,mf,lbal
6,1,1,mf,lbal
6,1,3,oi,rec
7,1,1,mf,pass
7,2,1,mf,lbal
7,1,3,oi,cond
7,1,1,mf,lbal
7,1,3,oi,rec
7,2,3,oi,cond
8,1,1,mf,pass
8,2,1,mf,lbal
8,1,3,oi,cond
8,2,3,oi,bpas
8,1,1,mf,lbal
8,1,3,oi,rec
8,2,3,oi,cond
8,3,3,oi,bpas
9,1,1,mf,pass
9,2,1,mf,lbal
9,1,3,oi,cond
9,2,3,oi,bpas
9,1,1,mf,lbal
9,1,3,oi,rec
9,2,3,oi,cond
9,3,3,oi,bpas
10,1,1,mf,pass
10,2,1,mf,lbal
10,1,3,oi,cond
10,2,3,oi,bpas
10,1,1,mf,lbal
10,1,3,oi,rec
10,2,3,oi,cond
10,3,3,oi,bpas
11,1,1,mf,pass
11,2,1,mf,lbal
11,1,3,oi,cond
11,2,3,oi,bpas
11,1,1,mf,lbal
11,1,3,oi,rec
11,2,3,oi,cond
11,3,3,oi,bpas
12,1,3,oi,cond
12,2,3,oi,bpas
12,1,1,mf,rec
12,1,1,mf,pass
12,2,1,mf,lbal
12,1,3,oi,rec
12,2,3,oi,cond
12,3,3,oi,bpas
13,1,1,oi,cond
13,1,3,oi,cond
13,2,3,oi,bpas
13,1,1,mf,rec
13,2,1,oi,cond
13,1,1,mf,pass
13,2,1,mf,lbal
13,1,3,oi,rec
13,2,3,oi,cond
13,3,3,oi,bpas
14,1,1,oi,cond
14,2,1,oi,drib
14,1,1,oi,drib
14,1,1,mf,rec
14,2,1,oi,cond
14,3,1,oi,drib
14,1,1,mf,pass
14,2,1,mf,lbal
14,1,3,oi,rec
14,2,3,oi,cond
14,3,3,oi,bpas
15,1,1,oi,cond
15,2,1,oi,drib
15,1,1,oi,drib
15,1,1,mf,rec
15,2,1,oi,cond
15,3,1,oi,drib
15,1,1,mf,pass
15,2,1,mf,lbal
15,1,3,oi,rec
